Countries_IUCN,Countries_WorldBank,Countries_conflicts
Christmas Island,Australia,Christmas Island
Cocos (Keeling) Islands,Myanmar,Cocos (Keeling) Islands
Cook Islands,New Zealand,Cook Islands
Niue,New Zealand,Niue
Norfolk Island,Australia,Norfolk Island
Pitcairn,United Kingdom,Pitcairn
Tokelau,New Zealand,Tokelau
Wallis and Futuna,France,Wallis and Futuna
Namibia,Namibia,Namibia
Nauru,Nauru,Nauru
Nepal,Nepal,Nepal
Netherlands,Netherlands,Netherlands
New Caledonia,New Caledonia,New Caledonia
New Zealand,New Zealand,New Zealand
Nicaragua,Nicaragua,Nicaragua
Niger,Niger,Niger
Nigeria,Nigeria,Nigeria
North Macedonia,North Macedonia,North Macedonia
Northern Mariana Islands,Northern Mariana Islands,Northern Mariana Islands
Norway,Norway,Norway
Oman,Oman,Oman
Pakistan,Pakistan,Pakistan
Palau,Palau,Palau
Panama,Panama,Panama
Papua New Guinea,Papua New Guinea,Papua New Guinea
Paraguay,Paraguay,Paraguay
Peru,Peru,Peru
Philippines,Philippines,Philippines
Poland,Poland,Poland
Portugal,Portugal,Portugal
Puerto Rico,Puerto Rico,Puerto Rico
Qatar,Qatar,Qatar
Romania,Romania,Romania
Russian Federation,Russian Federation,Russia (Soviet Union)
Rwanda,Rwanda,Rwanda
Samoa,Samoa,Samoa
San Marino,San Marino,San Marino
Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia,Saudi Arabia
Senegal,Senegal,Senegal
Serbia,Serbia,Serbia
Seychelles,Seychelles,Seychelles
Sierra Leone,Sierra Leone,Sierra Leone
Singapore,Singapore,Singapore
Sint Maarten (Dutch Part),Sint Maarten (Dutch part),Sint Maarten (Dutch Part)
Slovakia,Slovak Republic,Slovakia
Slovenia,Slovenia,Slovenia
Solomon Islands,Solomon Islands,Solomon Islands
Somalia,Somalia,Somalia
South Africa,South Africa,South Africa
South Sudan,South Sudan,South Sudan
Spain,Spain,Spain
Sri Lanka,Sri Lanka,Sri Lanka
Saint Kitts and Nevis,St. Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,St. Lucia,Saint Lucia
Saint Martin (French Part),France,Saint Martin (French Part)
Saint Vincent and the Grenadines,St. Vincent and the Grenadines,Saint Vincent and the Grenadines
Sudan,Sudan,Sudan
Suriname,Suriname,Suriname
Sweden,Sweden,Sweden
Switzerland,Switzerland,Switzerland
Syrian Arab Republic,Syrian Arab Republic,Syria
Tajikistan,Tajikistan,Tajikistan
"Tanzania, United Republic of",Tanzania,"Tanzania, United Republic of"
Thailand,Thailand,Thailand
Timor-Leste,Timor-Leste,Timor-Leste
Togo,Togo,Togo
Tonga,Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia,Tunisia
Turkey,Turkey,Turkey
Turkmenistan,Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands
Tuvalu,Tuvalu,Tuvalu
Uganda,Uganda,Uganda
Ukraine,Ukraine,Ukraine
United Arab Emirates,United Arab Emirates,United Arab Emirates
United Kingdom of Great Britain and Northern Ireland,United Kingdom,United Kingdom of Great Britain and Northern Ireland
United States of America,United States,United States of America
United States Minor Outlying Islands,United States,United States Minor Outlying Islands
Uruguay,Uruguay,Uruguay
Uzbekistan,Uzbekistan,Uzbekistan
Vanuatu,Vanuatu,Vanuatu
"Venezuela, Bolivarian Republic of","Venezuela, RB","Venezuela, Bolivarian Republic of"
Viet Nam,Vietnam,Viet Nam
"Virgin Islands, U.S.",Virgin Islands (U.S.),"Virgin Islands, U.S."
"Palestine, State of",West Bank and Gaza,"Palestine, State of"
Yemen,"Yemen, Rep.",Yemen (North Yemen)
Zambia,Zambia,Zambia
Zimbabwe,Zimbabwe,Zimbabwe
Antarctica,NA,Antarctica
